Date,SW_chl_nn,SW_chl_oc4me,MST_chl_nn,MST_chl_oc4me,PK_chl_nn,PK_chl_oc4me
2019-07-01,,,0.23446539,,,
2019-07-02,,,,,,
2019-07-03,,,,,,
2019-07-04,0.23446539,,,,0.6958565,0.17542621
2019-07-05,,,0.15734407,,0.16315426,
2019-07-06,0.4503429,,0.3895392,,0.101829596,0.52063745
2019-07-07,0.48421624,,,,,
2019-07-08,2.4757156,10.558982,,,0.01,
2019-07-09,11.77243,,4.265022,,0.1094889,0.13610004
2019-07-10,,,,,,
2019-07-11,,,,,,
2019-07-12,1.3859012,,,,,
2019-07-13,11.353195,,3.3089106,,0.08808093,0.80447364
2019-07-14,,,,,,
2019-07-15,,,0.46697253,2.5671356,0.17542621,0.5597982
2019-07-16,,,1.1987818,,,
2019-07-17,,,,,,
2019-07-18,,,,,,
2019-07-19,,,,,,
2019-07-20,1.0,,11.353195,,0.23446539,0.6710759
2019-07-21,,,5.7004023,11.77243,0.36228898,0.4503429
2019-07-22,,,,,,
2019-07-23,,,,,,
2019-07-24,2.8621533,,3.4310975,,0.2431234,0.6241307
2019-07-25,,,,,,
2019-07-26,2.2205303,,,,0.14112575,
2019-07-27,,,,,0.113531955,0.5020967
2019-07-28,4.7551622,7.0858784,4.1131372,,0.17542621,0.80447364
2019-07-29,,,0.5020967,,0.16315426,0.40392357
2019-07-30,,,,,,
2019-07-31,,,,,,
2019-08-01,,,,,,
2019-08-02,,,,,,
2019-08-03,,,,,0.19558637,0.3756671
2019-08-04,,,,,,
2019-08-05,,,,,,
2019-08-06,,,,,,
2019-08-07,,,,,,
2019-08-08,0.8341801,3.0774355,,,,
2019-08-09,,,,,,
2019-08-10,,,,,,
2019-08-11,,,,,0.19558637,0.86498356
2019-08-12,,,,,,
2019-08-13,0.2431234,,0.6471778,,0.21029776,0.9643884
2019-08-14,,,,,,
2019-08-15,,,,,0.18862122,0.6241307
2019-08-16,9.820328,15.734407,1.0,,0.23446539,1.336547
2019-08-17,,,0.36228898,,,
2019-08-18,,,,,,
2019-08-19,1.0369266,7.0858784,,,0.28107285,0.5020967
2019-08-20,,,0.2431234,,0.22611569,0.3756671
2019-08-21,,,,,,
2019-08-22,7.618856,6.590185,0.3756671,,0.041131373,
2019-08-23,,,,,,
2019-08-24,,,,,,
2019-08-25,,,,,,
2019-08-26,,,,,,
